date,location_key,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,death_rate,recover_rate
2022-04-27,AR_H_154,1408,24,,4700,0.017045454545454544,
2022-04-29,AR_H_161,556,7,,1424,0.012589928057553957,
2022-04-30,AR_H_168,2410,51,,9651,0.02116182572614108,
2022-04-30,AR_J,145359,1236,,431986,0.00850308546426434,
2022-04-30,AR_J_007,4965,36,,13668,0.0072507552870090634,
2022-04-26,AR_J_014,1597,12,,4373,0.007514088916718848,
2022-04-29,AR_J_021,1319,13,,4479,0.009855951478392721,
2022-04-30,AR_J_028,25552,220,,86760,0.008609893550407014,
2022-04-27,AR_J_035,5544,83,,13839,0.014971139971139972,
2022-04-29,AR_J_042,18319,136,,52784,0.00742398602543807,
2022-04-28,AR_J_049,2057,9,,6800,0.004375303840544483,
